POSITION,COMPANY NAME,LOCATION,SALARY,JOB LINK,BENEFITS,DESCRIPTION,EMPLOYMENT TYPE
Data Entry,Firstsource Healthcare,Remote,NULL,https://careers.firstsource.com/job/Remote-Data-Entry-Remo/32170044/?src=Indeed,No benefits found.,"Date: Nov 22, 2024
      







       Location: Remote, Remote, US
      







       Requisition ID: 12835
      







       Description: 
       The Data Entry Operator is an entry level position which is production oriented. Individuals are responsible for the introduction of data into the system which is then provided to the client for use in their internal adjudication system.

FOUNDATION KNOWLEDGE, SKILLS, AND/OR ABILITIES REQUIRED
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions
ESSENTIAL DUTIES AND RESPONSIBLITIES •
Enter data from scanned and/or processed images into the data capture system.
Meet expected hourly production volume goals.
Maintain quality levels above minimums set by management
Increase speed and difficulty of tasks as expected with training and practice

ADDITIONAL RESPONSIBILITIES

Maintain awareness of and actively participate in the Corporate Compliance Program.


Maintain a neat and orderly workstation.


Assist with other projects as assigned by management


Must be prompt and dependable (excellent attendance)


Must be comfortable working in a production environment


Proficient typing skills are required (35wpm / 98% accuracy min) (test required).


Possess excellent organization skills


Reliability of task completion and follow-up

Qualifications - External
EDUCATION/PREVIOUS EXPERIENCE
High School diploma or equivalent
Excellent Data Entry Skills
Computer Knowledge
Basic Math Skill",NULL
Entry Level – Wealth Management Associate,Equitable Advisors,Remote,NULL,https://equitable.taleo.net/careersection/eqh_1/jobdetail.ftl?job=21000104&tz=GMT-06%3A00&tzname=America%2FChicago,"['401(k) matching', 'Dental insurance', 'Disability insurance', 'Employee stock purchase plan', 'Health insurance', 'Life insurance', 'Vision insurance']","Entry Level – Wealth Management Associate - NJ, Secaucus (4045) (21000104)
 

 Primary Location : UNITED STATES-Remote
 

 Organization : Equitable Advisors
 

 Description

 Equitable Advisors is a respected wealth management firm with a proven track record in the industry. We are driven by our mission to help our clients secure their financial well-being providing them confidence to pursue long and fulfilling lives. We have a passion to make a positive impact on the futures of individuals and businesses by offering financial services and products that address their evolving financial needs throughout their lifetime.
 Our people
Our Financial Professionals come from a variety of backgrounds including recent college grads, career crossovers and experienced financial professionals, yet they all share several key traits: demonstrated patterns of success, values driven, entrepreneurial mindset, knack for networking and possess a desire to shape and protect their future as well as those they serve.

We value and respect people of all backgrounds and focus on developing diverse talent and fostering an inclusive work environment


Our Diversity, Equity, and Inclusion (DEI) initiatives thrive from opportunities to participate in activities such as employee resource groups to our much-anticipated celebration of cultures and accomplishments at the annual Diversity Summit


Social impact and community engagement prosper thru our programs such as “1,000 Hours of Giving Back” sponsored by our Women’s Network and “Equitable Excellence” providing 200 college scholarships annually


Enjoy the flexibility for Work Life Balance enabling us to identify with our authentic selves






 Qualifications


 Training and support

To get started as a Financial Professional, Equitable Advisors will sponsor your pursuit of the FINRA licensing requirements as well as help you navigate state licensing needs.

Our entry level training curriculum is designed to empower you with the skills and tools needed for success: client relationship management, product knowledge, market development, role play and access to a full suite of remote-work technology solutions. You will also upskill from participating in local and national development programs as well as joint-work opportunities for a hands-on experience.

Financial professionals at every level of experience are looking for continuing education and ways to expand their career by sharpening their skills. We encourage pursuit of professional designations including CERTIFIED FINANCIAL PLANNER™ (CFP®) Professional and Chartered Financial Consultant (ChFC). In partnership with Columbia University, Equitable Advisors offers a Holistic Financial Coach certification within our specialized Holistic Life Planning platform.

We also have management opportunities for those wanting to advance into leadership or just try it on in our Leadership Development School.

 Benefits and compensation
Compensation options you control and a comprehensive benefits package for eligible individuals: health and dental coverage options, vision care coverage, 401(k) Plan with company match; Employee Stock Purchase Plan (ESPP); Short- and Long-Term Disability Programs; Basic Group Life Insurance; and Transportation Reimbursement Incentive Program (“TRIP”).

 Equitable Advisors’ strategy begins with the needs, goals, and aspirations of those we serve. We strive to deliver amazing customer experience while building long-term relationships that emphasize trust, guidance, and technology to deliver customized financial strategies to our clients.

Equitable Advisors, LLC, (NY, NY 212-314-4600) member FINRA, SIPC (Equitable Financial Advisors in MI & TN) // Equitable Network, LLC // Equitable Network Insurance Agency of California, LLC; Equitable Network Insurance Agency of Utah, LLC; Equitable Network of Puerto Rico, Inc. Equal Opportunity Employers M/F/D/V. GE- 5929421.1 (9/23)(Exp.9/25)",NULL
Data Analyst,Ascension,Remote,NULL,https://jobs.ascension.org/us/en/job/AHEAHUUS372529EXTERNALENUS/Data-Analyst?phenom_utm_medium=phenom-feeds&utm_source=appcast_indeed&utm_medium=organic&utm_campaign=USASC_AllJobs&iisn=Appcast_Indeed&iis=Organic&iisc=USASC_AllJobs&iieid=58373072984&_ccid=1732903239168n3np9aete&ittk=4ZIAZKDGXW,"['Adoption assistance', 'Disability insurance', 'Employee assistance program', 'Health insurance', 'Paid time off', 'Parental leave', 'Retirement plan']","Details 

Department: Network Services
 Schedule: Full-Time Days, Monday-Friday, Remote
 Facility: Ascension

 Benefits 

  Paid time off (PTO)  Various health insurance options & wellness plans  Retirement benefits including employer match plans  Long-term & short-term disability  Employee assistance programs (EAP)  Parental leave & adoption assistance  Tuition reimbursement  Ways to give back to your community
 


 Please note, benefits and benefits eligibility can vary by position, exclusions may apply for some roles (for example: Travel, PRN, Short-Term Option, etc.). Actual compensation offer will vary based upon role, education, experience, location, and qualifications. Connect with your Talent Advisor for additional specifics.

 Responsibilities 

  As the Data Analyst, you'll collect and analyze data from multiple sources for the development of reports and statistical information.
 

Compile analytical and statistical reports as needed.
Formulate, define and recommend scope and format of reports.
Oversee provision of ad hoc management reports.
Review information for accuracy and reconcile data on a regular basis.
Provide support and education to staff on how to access reports and interpret the data.
Identify data trends and make recommendations for quality improvement.
Knowledge of Application Programming Interfaces (APIs) and computer programming language.

 Requirements 

  Education:
 

High School diploma equivalency with 2 years of cumulative experience OR Associate's degree/Bachelor's degree OR 4 years of applicable cumulative job specific experience required.

 Additional Preferences 

  Additional Preferences:
 

2 years of Python Programming language experience, preferred.
2 years of
Application Application Programming Interfaces (APIs) and computer programming language experience, preferred.
Critical Thinking and Problem Solving a must have.

#LI-Remote
 Why Join Our Team 

  Ascension associates are key to our commitment of transforming healthcare and providing care to all, especially those most in need. Join us and help us drive impact through reimagining how we can deliver a people-centered healthcare experience and creating the solutions to do it. Explore career opportunities across our ministry locations and within our corporate headquarters.
 


 Ascension is a leading non-profit, faith-based national health system made up of over 134,000 associates and 2,600 sites of care, including more than 140 hospitals and 40 senior living communities in 19 states.
 


 Our Mission, Vision and Values encompass everything we do at Ascension. Every associate is empowered to give back, volunteer and make a positive impact in their community. Ascension careers are more than jobs; they are opportunities to enhance your life and the lives of the people around you.
 
 Equal Employment Opportunity Employer 

  Ascension will provide equal employment opportunities (EEO) to all associates and applicants for employment regardless of race, color, religion, national origin, citizenship, gender, sexual orientation, gender identification or expression, age, disability, marital status, amnesty, genetic information, carrier status or any other legally protected status or status as a covered veteran in accordance with applicable federal, state and local laws.
 


 For further information, view the EEO Know Your Rights (English) poster or EEO Know Your Rights (Spanish) poster.
 


 As a military friendly organization, Ascension promotes career flexibility and offers many benefits to help support the well-being of our military families, spouses, veterans and reservists. Our associates are empowered to apply their military experience and unique perspective to their civilian career with Ascension.
 


 Pay Non-Discrimination Notice
 


 Please note that Ascension will make an offer of employment only to individuals who have applied for a position using our official application. Be on alert for possible fraudulent offers of employment. Ascension will not solicit money or banking information from applicants.
 

 E-Verify Statement 

  This employer participates in the Electronic Employment Verification Program. Please click the E-Verify link below for more information.  E-Verify",Full-time
Data Engineer II,Personify Health,Remote,"$92,352 - $95,000 a year",https://careers-personifyhealth.icims.com/jobs/3704/job?utm_source=indeed_integration&iis=Job+Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,No benefits found.,"Overview: 
 
 Now is the time to join us!




 We’re Personify Health. We’re the first and only personalized health platform company to bring health, wellbeing, and navigation solutions together. Helping businesses optimize investments in their members while empowering people to meaningfully engage with their health. At Personify Health, we believe in offering total rewards, flexible opportunities, and a diverse inclusive community, where every voice matters. Together, we’re shaping a healthier, more engaged future.
  
 Responsibilities: 
 
 Data Engineer II sought by Personify Health for Providence, RI location. Telecommuting permitted.



 Job Duties:


Summary: Perform development activities within a data engineering team and help guide, onboard, and train Data Engineer I. Develop data pipelines and enhancements and investigate and troubleshoot issues, working closely with account management, ETL, data warehouse, business intelligence, and reporting teams. Work with multiple data structures, including relational and non-relational models. Do documentation, tech ops, sprints, implementation, monitor, QA, and related tasks.
Extracting, cleansing, and loading data.
Building data pipelines using SQL, Kafka, and other technologies.
Investigation and documentation of new data sets.
Triage incoming bugs and incidents.
Perform technical operation tasks.
Investigate and troubleshoot issues with data and data pipelines.
Participation in sprint refinement, planning, and kick-off to help estimate stories, raise awareness and additional implementation details.
Help monitor areas of the data pipeline and raise awareness to team when issues arise.
Performing and implementing new quality assurance rules to maintain consistent and accurate data.
 Qualifications: 
 
 Job Requirements: 


Bachelor’s degree in Comp Sci, Comp Engr, Electronics Engr, IT, or related field, or foreign equivalent.
Requires 2 years of relevant experience in data engineering.
Must have skills via 2 years of experience in all of the following: 

examining data and code for quality and accuracy;
modern relational and non-relational models;
writing complex SQL, including pivots, window functions, and date calculations;
Excel, Tableau, MicroStrategy, and PowerBI;
REST API and JSON, and ability to parse that data and convert into relational models; and
Python.



 Salary: $92,352.00 to $95,000.00 per year
 

 Contact: Apply at https://personifyhealth.com/careers/job-openings/",-  Full-time
Service Desk Analyst - Level 1,Wynne System,Remote,"$40,000 - $50,000 a year",https://volarisgroup.wd3.myworkdayjobs.com/en-US/WynneNA/job/Remote-United-States/Service-Desk-Analyst---Level-1_R54448?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,No benefits found.,"Build Your Career and Future at Wynne.
 


  Job Summary:
  We’re hiring a self-motivated Service Desk Analyst – L1 with experience working in a Service Desk environment. The successful candidate will be well organized, metrics-driven, able to work in various environments with non-technical and technical profiles. You will work as a part of a team responsible for analysis and resolution of customer requests, including software queries, data correction, bug replication and root cause analysis of recurring data issues.
 

  Job Description:
 

  Key responsibilities
 

  You will be responsible for:
 

Business to business support of Wynne Systems products
Ticket and workload management using our online ticketing tool
Resolution of data issues
Creation of knowledge base articles
Replication of bugs within the Wynne System products
Work with internal and external resources to identify and troubleshoot root causes for recurring service desk tickets.
Conducting meetings and calls with customers to replicate issues
Answering In-bound Calls



  Key skills and competencies
 

Excellent written and verbal communication skills.
Ability to relate complex models and ideas in clear, plain-spoken English.
Tenacious, Get-Things-Done Attitude… But must work well with others!
1-3 years of previous Service Desk experience supporting a software product
Demonstrate ability to coordinate cross-functional work teams toward task completion
Demonstrate effective analytical skills



  Travel
 

Travel, at times, may be required up to 10%. However, on average, travel will typically be much lower.



  Compensation: $40,000 - $50,000 base salary based on experience plus eligible for generous company bonus that is based on company performance
 


  Worker Type:
  Regular",-  Full-time
Data Analyst - Remote,OneDigital,Remote,"$75,000 - $78,000 a year",https://onedigital.wd5.myworkdayjobs.com/en-US/OneDigital/job/Remote/Data-Analyst---Remote_R6564,"['Health insurance', 'Paid time off']","Are you looking to accelerate your career without having to hide your authentic self - a place where you can be you? A career that’s making a bigger impact on the world? At OneDigital, we are on a mission to help people do their best work and live their best lives. From the services we offer to the way we show up for each other each day, we are fueling dreams, achieving big goals, and embracing each other’s truest selves.



 We understand that pursuing a new job is a big deal. Maybe you’re afraid you won’t fit in. Well, here’s the good news. For us, the days of “fit in to get in” are over and being different is not a barrier to getting ahead. Greatness comes in all shapes, sizes, colors, and experience levels. If you are looking for a people-first culture that is wired for growth, driven to serve, and totally committed to having your back, give us a shot. Your best life awaits.



  Our Newest Opportunity:
 



    Summary:
   





    The Data Analyst has the responsibility of seamless data flow between the integrated systems by providing accurate data mapping instructions based on the analysis of specifications and sample data, following the process already established that includes business discovery, data mapping documentation and working with the team through the implementation.
   






    Essential Duties and Responsibilities:
   







      Perform data mapping, transformation, and data cleansing activities
     






      Conduct data analysis based on the specification and sample data
     






      Create data mapping documentation
     






      Develop user stories and define acceptance criteria with reference to the data mapping documentation
     






      Conduct data mapping walkthrough with the team
     






      Groom and prioritize backlog with the team
     






      Assist in writing acceptance tests
     






      Assist in preparing test data
     






      Collaborate with data architects and other stakeholders to ensure integration solutions meet business requirements
     






      Test and validate data integration processes to ensure accuracy and consistency
     






      Triage UAT and Production issues
     






      Document product standards, both internal for the team as well as the external for other teams/partners.
     







    Qualifications, Skills and Requirements:
   







      Work experience as an Analyst or similar role in data integration
     






      Technical knowledge of JSON, REST API, using Postman. Knowledge of JSONPath is a plus.
     






      Technical knowledge of Data Mapping, API Integration and Web Technologies
     






      Hands-on experience managing all stages of the product life cycle
     






      Team spirit and good communication abilities
     






      Good organizational skills
     






      Health Insurance domain knowledge is a plus
     







    Education, Training and Experience:
   







      Bachelor’s Degree in Data Science, Math, Finance, or related field, preferred;
     






      2+ Years of Experience in Insurance/Employee Benefits or Finance/Accounting, preferred;
     






      Experience in building & maintaining enterprise-level analytics solutions, preferred;
     






      Experience with Microsoft Suite (Excel, Powerpoint, Word, Outlook, etc.), required;
     






      Experience with Postman or similar tools to call APIs, preferred;
     






      Experience with data analysis using JSON format, preferred;
     






      Experience with JIRA and Confluence, preferred;
     






      General programming experience, preferred;
     






      SQL experience, preferred.
     





  The typical base pay range for this role nationwide is $75,000 to $78,000 per year.
 


  Your base pay is dependent upon your skills, education, qualifications, professional experience, and location. In addition to base pay, some roles are eligible for variable compensation, commission, and/or annual bonus based on your individual performance and/or the company’s performance. We also offer eligible employees health, wellbeing, retirement, and other financial benefits, paid time off, overtime pay for non-exempt employees, and robust learning and development programs. You will receive reimbursement of job-related expenses per the company policy and may receive employee perks and discounts.  To learn more, visit: www.onedigital.com/careers
 


  OneDigital is an equal opportunity employer. Not only as a matter of standard, but to honor and celebrate our differences. We believe that the power of ONE starts with you. We are committed to cultivating and preserving a culture that celebrates diversity, insists on equity and inclusion, and connects us. Ensuring our people feel seen, valued, respected, and supported is fundamental to our core values and business goals.
 


  OneDigital provides equal employment opportunities to all employees and applicants for employment regardless of their: veteran status, uniformed servicemember status, race, color, religion, sex, sexual orientation, gender identity, age (40 and over), pregnancy (including childbirth, lactation and related medical conditions), national origin or ancestry, citizenship or immigration status, physical or mental disability, genetic information (including testing and characteristics) or any other category protected by federal, state or local law (collectively, “protected characteristics”). A copy of the Federal EEO poster is linked 
  
   here
  .
 


  Pursuant to local Fair Chance Ordinances, we will consider qualified applications with arrest or conviction records for employment. For applicable candidates, the following ordinances are linked here to inform you of your rights as an applicant:
 



   City and County of San Francsico
  



   City of Los Angeles
  



   County of Los Angeles
  



  Employment decisions shall comply with all other applicable federal, state and city/county laws prohibiting discrimination in employment. OneDigital complies with all criminal history inquiry [or ‘ban the box’] laws in California, Connecticut, Colorado, Hawaii, Illinois, Maine, Maryland, Massachusetts, Minnesota, New Jersey, New Mexico, Oregon, Rhode Island, Vermont and Washington.
 


 In short, we believe in hiring the most qualified applicant for the position, regardless of background.



  If you have questions about our hiring policies and practices, we would be happy to discuss upon receiving your application. We hope to welcome you to OneDigital and look forward to hearing from you.
 


  Thank you for your interest in joining the OneDigital team!",-  Full-time
Strategic Data Analyst I,Doane University,Remote,"From $75,000 a year",https://doane.peopleadmin.com/postings/2028,['Paid time off'],"Position Title


      Strategic Data Analyst I
     



Job Type


      Full Time - 12 months
     



Department


      Information Technology Services
     



Job Location


      Remote/Hybrid Option
     



Position Summary


      Doane University is seeking a Strategic Data Analyst I to support data analysis and reporting efforts. This role involves collecting, analyzing, and interpreting data to inform decision-making, and assisting with the creation of reports, dashboards, and data models. This position ensures data accuracy and provides basic insights to enhance institutional operations and is ideal for someone with a strong foundation in data analytics tools.   The Strategic Data Analyst I position offers growth opportunities in data governance, storytelling, and operational reporting. Collaboration with senior analysts and department leaders is key to meeting the institution’s data needs and advancing data governance practices.  View the position description here  Doane University actively works to create and sustain a welcoming learning community for all members to fulfill their potential, feel valued, and make meaningful contributions to the University. Doane University is an equal-opportunity employer and seeks candidates who reflect the diversity of our society. Following USCIS regulations, successful applicants must be legally able to accept work in the United States. Doane is unable to sponsor applicants for work visas.




FLSA


      Salaried (Exempt)
     



Salary


      The pay is determined by experience and starts at $75,000
     



Minimum Required Qualifications



       A bachelor’s degree or equivalent experience and at least one year in data analytics, business intelligence, or a related field are required; internship experience is accepted. Proficiency in creating basic data visualizations and reports using standard business intelligence tools is essential.  Experience must demonstrate:
      

Familiarity with data management and analytics tools.
Strong understanding of basic data analysis techniques.
Ability to work with data to ensure accuracy, completeness, and integrity.
Strong written and verbal communication skills to assist in data storytelling.
Willingness to learn more advanced tools and techniques related to data governance and reporting.
Ability to work collaboratively within a team environment and take direction from senior team members.





Preferred Qualifications


Familiarity with SQL and database query languages.
Basic knowledge of data governance concepts.




Required Licenses/Certifications





Preferred Licenses/Certifications








   Physical/Environmental/Working Conditions
  





Working Conditions


      Normal business hours Evenings and weekends as necessary (i.e., emergencies) Remote option available Travel to campuses as necessary for projects and collaborations
     



Travel Required


      No
     



Physical Requirements


      Sedentary work
     



Outdoor Exposure


      Primarily exposed to indoor elements
     



Background Check Required


      Yes
     






   Posting Detail Information
  





Posting Number


      STF117
     



Desired Start Date





Position End Date (if temporary)





Open Date


      11/13/2024
     



Review Start Date


      12/02/2024
     



Close Date





Open Until Filled


      Yes
     



Special Instructions to Applicant


      Review of applications will begin on December 2nd and will continue until the position is filled.  We offer competitive paid time off, benefits packages, and professional development opportunities. To support our employees’ educational goals, we offer free tuition for undergraduate programs and discounted tuition for graduate programs at Doane.
     



Quick Link for Direct Access to Posting


      https://doane.peopleadmin.com/postings/2024",-  Full-time
"Planning Analyst, Women's",Stitch Fix,Remote,"$64,300 - $94,500 a year",https://www.stitchfix.com/careers/jobs?gh_jid=6371275,"['Dental insurance', 'Health insurance', 'Vision insurance']","About Stitch Fix, Inc. 
Stitch Fix (NASDAQ: SFIX) is the leading online personal styling service that helps people discover the styles they will love that fit perfectly so they always look - and feel - their best. Few things are more personal than getting dressed, but finding clothing that fits and looks great can be a challenge. Stitch Fix solves that problem. By pairing expert stylists with best-in-class AI and recommendation algorithms, the company leverages its assortment of exclusive and national brands to meet each client's individual tastes and needs, making it convenient for clients to express their personal style without having to spend hours in stores or sifting through endless choices online. Stitch Fix, which was founded in 2011, is headquartered in San Francisco.

About the Role
The Merchandise Planning Analyst will be responsible for assisting the Planning team in growing the women's apparel business. You will assist in developing and executing inventory and assortment plans based on client feedback and preferences to deliver financial goals and business strategies.
You will report to one of our talented Merchandise Planning Managers and have exposure to our VP of Merchandising as well as other senior-level members of our Merchandising team. Our ideal candidate is a self-starter and sharply analytical problem-solver with proven planning acumen and the ability to adapt to the Stitch Fix business model.
 You're excited about this opportunity because you will…

Assist in managing the financial plan of a class/business group
Work directly with Merchandise Planner(s) on building new reports and merchandise analytics
Analyze historical and current trend to identify risk and opportunities and partner with planner to develop action plan to achieve department goals
Recap in-season actualized sales and inventory KPIs to plan and forecast
Participate in development of pre-season strategy with planner and buying team
Find opportunities to balance size ownership
Partner with the Buying team to manage liabilities with clearance and markdown strategy and execution
Create buy plans for core styles and track sales performance to recommend inventory flow

We’re excited about you because…

You have either a college degree (preferably a BS in a business-related field) with 1-2 years of work experience in planning/allocation OR you have 3-5 years of planning/allocation experience/another analytical or financial field
You have strong problem solving and analytical skills
You are proficient in Microsoft Excel and have experience in using Google Suite
You are passionate about the retail industry
You have an understanding of retail math and merchandising financials
You are comfortable in a start-up environment with an ""all hands on deck"" mentality
You can work independently as well as part of a team
You communicate well within a team and cross-functionally
You have excellent written and verbal skills
You are flexible and can multi-task under pressure
You have a bias toward action, results focused and detail oriented

Why you'll love working at Stitch Fix...

We are a group of bright, kind people who are motivated by challenge. We value integrity, innovation and trust. You’ll bring these characteristics to life in everything you do at Stitch Fix.
We cultivate a community of diverse perspectives— all voices are heard and valued.
We are an innovative company and leverage our strengths in fashion and tech to disrupt the future of retail.
We win as a team, commit to our work, and celebrate grit together because we value strong relationships.
We boldly create the future while keeping equity and sustainability at the center of all that we do.
We are the owners of our work and are energized by solving problems through a growth mindset lens. We think broadly and creatively through every situation to create meaningful impact.
We offer comprehensive compensation packages and inclusive health and wellness benefits.




Compensation and Benefits  This role will receive a competitive salary and benefits. The salary for US-based employees will be aligned with the range below, which includes our three geographic areas. A variety of factors are considered when determining someone’s compensation–including a candidate’s professional background, experience, location, and performance.This position is eligible for an annual cash award depending on employee and company performance. In addition, the position is eligible for medical, dental, vision, and other benefits. Applicants should apply via our internal or external careers site.


    Salary Range
   

    $64,300—$94,500 USD
   



This link leads to the machine readable files that are made available in response to the federal Transparency in Coverage Rule and includes negotiated service rates and out-of-network allowed amounts between health plans and healthcare providers. The machine-readable files are formatted to allow researchers, regulators, and application developers to more easily access and analyze data.
Please review Stitch Fix's US Applicant Privacy Policy and Notice at Collection here: https://stitchfix.com/careers/workforce-applicant-privacy-policy
 Recruiting Fraud Alert:
To all candidates: your personal information and online safety are top of mind for us. At Stitch Fix, recruiters only direct candidates to apply through our official career pages at https://www.stitchfix.com/careers/jobs or https://web.fountain.com/c/stitch-fix.
Recruiters will never request payments, ask for financial account information or sensitive information like social security numbers. If you are unsure if a message is from Stitch Fix, please email careers@stitchfix.com.
You can read more about Recruiting Scam Awareness on our FAQ page here: https://support.stitchfix.com/hc/en-us/articles/1500007169402-Recruiting-Scam-Awareness",NULL
Mid-level Data Analyst,Intone Networks,Remote,NULL,https://intone.com/careers-at-intone/,No benefits found.,"Title: Mid-level Data Analyst Loaction:(Remote ) This is a 6-month Contract to hire job opportunity. Seeking Candidates in the MD, Wash DC, VA, PA",Contract
Human Resource Analyst,CANSofttech,Remote,NULL,https://cansofttech.com/careers/,['Opportunities for advancement'],"CANSofttech offers you more than just a job. We provide exciting career paths and opportunities to grow.
Come work for a company that develops solutions which impact the real world and enhance the quality of life and secure the homeland. We empower our employees to be valued experts in their field through collaboration, positive and energetic work environments, training and opportunities for growth. We hire creative, self-motivated individuals who love what they do and who bring diverse talents and unique perspectives to help our customers succeed.
As a member of the CANSofttech team, you’ll be part of a company that treats its staff as valued individuals and appreciates the unique talents they bring to our organization. We go to great lengths to get to know our employees, to listen to them and to foster an environment that encourages camaraderie, teamwork and open communication. We also place importance on entrepreneurial freedom and professional growth, providing advancement opportunities and career paths for both technical and professional staff.
If you have a passion for excellence and want to be part of a dynamic company where you can make a difference, CANSofttech is the place to come make it happen.
If you are interested in one of the following opportunities with CAN Softtech, please email your resume.
 

Job Title: Human Resource Analyst
 Duties & Responsibilities:

 HR Assistant will manage many of the HR functions for the organization, including but not limited to:
Assist with the daily operational of the Human Resources Department
Answering phone calls
Assist with employee/labor relations for the agency’s employees
On boarding & Compliance for new hire
Assist with training as needed
I9 Audits
Employee Handbook
Assist Payroll process

 Required Qualifications:

High School Diploma required, some college preferred
Experience in an HR Generalist/HR Admin role
General knowledge & experience of HR Laws & Regulatory Compliance

 Job Location: 100% remote",NULL
